Points_0,Points_1,Points_2,Points_Magnitude,STLSolidLabeling,Point ID
-0.0017587,0.0456599,-0.00598091,0.0460835,0,181
-0.000347438,0.0453621,-0.00622444,0.0457884,0,182
-0.00170596,0.0466552,-0.00599617,0.0470698,0,183
0.00527235,0.183837,-0.0033944,0.183944,0,184
0.00565507,0.185174,-0.0027092,0.18528,0,185
0.00611377,0.185087,-0.00139338,0.185193,0,186
0.00535561,0.186598,-0.00326146,0.186703,0,187
0.00449151,0.0842571,0.00438663,0.0844906,0,188
0.00413217,0.0860141,0.00472666,0.0862429,0,189
0.00305679,0.0870282,0.00548381,0.0872544,0,190
0.00472349,0.0867571,0.00413579,0.0869839,0,191
0.00622839,0.00919183,0.00100739,0.0111489,0,192
0.00598866,0.00838365,0.00198584,0.0104925,0,193
0.00580563,0.0072163,0.00247027,0.00958554,0,194
0.00581383,0.00874283,0.00245092,0.0107817,0,195
0.00269844,0.196911,0.00574188,0.197013,0,196
0.00272063,0.197554,0.00573139,0.197656,0,197
0.00243279,0.197829,0.00585937,0.19793,0,198
0.00302331,0.197924,0.00557766,0.198026,0,199
0.00349,0.071895,-0.0051564,0.0721641,0,200
0.00196865,0.0713029,-0.00590703,0.0715742,0,201
0.000856817,0.0721398,-0.0061672,0.072408,0,202
0.00140323,0.0698739,-0.00606626,0.0701508,0,203
-0.00581266,0.0141726,0.00242461,0.015509,0,204
-0.00615176,0.0141973,0.00134966,0.0155316,0,205
-0.00626245,0.0135099,0.000668919,0.0149058,0,206
-0.00623204,0.0149095,0.000909601,0.0161851,0,207
-0.00614881,0.00667135,0.00154617,0.00920356,0,208
-0.00619512,0.00604293,0.00134872,0.00875874,0,209
-0.00612636,0.00567153,0.00163286,0.00850675,0,210
-0.00628137,0.0057859,0.000861964,0.00858343,0,211
0.00268029,0.0191234,-0.00567291,0.0201263,0,212
0.00384338,0.0195804,-0.00495926,0.0205611,0,213
0.00435769,0.0185402,-0.00451402,0.0195731,0,214
0.00437397,0.0210776,-0.00449825,0.0219916,0,215
-0.00523214,0.193753,0.00356904,0.193856,0,216
-0.00556758,0.193344,0.00301918,0.193448,0,217
-0.00570282,0.19263,0.00275523,0.192734,0,218
-0.0057256,0.193649,0.00270757,0.193753,0,219
-0.00362508,0.0604458,0.0050592,0.0607653,0,220
-0.00261846,0.061453,0.00564627,0.0617673,0,221
-0.00313104,0.0628697,0.00537897,0.063177,0,222
-0.000982901,0.0610435,0.00614578,0.06136,0,223
-0.00603177,0.149486,0.00155978,0.149615,0,224
-0.00565943,0.150479,0.002605,0.150608,0,225
-0.00588302,0.151832,0.00205068,0.151959,0,226
-0.00476072,0.150121,0.0040188,0.150251,0,227
-0.00571007,0.0133703,0.00267504,0.0147826,0,228
-0.00602214,0.0125928,0.00186936,0.0140833,0,229
-0.00599377,0.0117005,0.00195841,0.0132915,0,230
-0.00623542,0.0127077,0.000938194,0.0141861,0,231
0.00545472,0.00684274,0.00321865,0.00932399,0,232
0.00528933,0.00763652,0.00348378,0.0099212,0,233
0.00490811,0.00769757,0.00400303,0.00996827,0,234
0.00546541,0.00836926,0.00320047,0.0104956,0,235
0.00534101,0.00145134,0.00340223,0.00649676,0,236
0.00543362,0.0017281,0.00325228,0.00656413,0,237
0.00517939,0.0022535,0.00364355,0.00672159,0,238
0.00573472,0.00147945,0.00268599,0.0065031,0,239
-0.00168872,0.00829335,-0.00608655,0.0104249,0,240
-0.00218943,0.00754332,-0.00592489,0.00983868,0,241
-0.00302057,0.00749372,-0.00554744,0.0098007,0,242
-0.00181773,0.00684289,-0.00604928,0.00931252,0,243
-0.00469661,0.19974,0.00426322,0.199841,0,244
-0.00441505,0.199481,0.00455417,0.199581,0,245
-0.00418975,0.19974,0.00476226,0.199841,0,246
-0.00434377,0.198961,0.00462221,0.199062,0,247
0.00156016,0.0220004,-0.00605946,0.0228729,0,248
0.0024533,0.0213105,-0.00575608,0.0222101,0,249
0.00191891,0.0199884,-0.00595558,0.0209449,0,250
0.00374527,0.0219427,-0.0050124,0.0228174,0,251
-0.00211057,0.00397459,-0.00597225,0.00747795,0,252
-0.00264996,0.00393669,-0.00575326,0.00745787,0,253
-0.00309814,0.00439265,-0.00552484,0.00770829,0,254
-0.0027222,0.00344283,-0.00571944,0.0072094,0,255
