Points_0,Points_1,Points_2,Points_Magnitude,Point ID
0.00563083,0.00757548,0.00293535,0.00988485,223
0.00562102,0.00604895,0.00295409,0.00876997,224
0.00267862,0.196267,0.00575738,0.19637,225
0.00241228,0.197185,0.00587396,0.197287,226
0.00300441,0.19728,0.00559428,0.197382,227
0.0027452,0.198198,0.00572594,0.1983,228
0.00214088,0.198103,0.00597822,0.198205,229
0.00332031,0.198294,0.00541276,0.198395,230
0.00485624,0.0724871,-0.00409138,0.0727647,231
0.00255278,0.0727319,-0.00581427,0.0730085,232
0.00306098,0.070466,-0.00556353,0.0707516,233
0.000292174,0.0707108,-0.00634327,0.0709953,234
-0.000274509,0.0729766,-0.00634406,0.0732524,235
0.000856531,0.068445,-0.00629197,0.0687389,236
-0.00532857,0.0141478,0.00345382,0.0155075,237
-0.0060915,0.0134852,0.00179337,0.0149054,238
-0.00601791,0.0148848,0.00202664,0.0161827,239
-0.00634587,0.0142221,0.000228973,0.0155753,240
-0.00634998,0.0128225,-1.55881e-05,0.0143087,241
-0.00633234,0.0156217,0.000473194,0.0168629,242
-0.00610571,0.00729977,0.00174437,0.00967519,243
-0.00608046,0.00629996,0.00183044,0.00894494,244
-0.00626027,0.00641432,0.0010637,0.00902585,245
-0.00624463,0.00541451,0.00115201,0.00834502,246
-0.006054,0.00530014,0.00191613,0.00827127,247
-0.0063392,0.00552887,0.000370177,0.00841968,248
0.00139903,0.0186664,-0.00619397,0.0197169,249
0.00331114,0.0180832,-0.00541838,0.0191657,250
0.0033307,0.0206206,-0.00540638,0.0215762,251
0.0048883,0.0200374,-0.00405303,0.0210195,252
0.00490291,0.0225748,-0.00403534,0.0234509,253
-0.00485466,0.194161,0.00409326,0.194265,254
-0.00540709,0.193039,0.00332954,0.193143,255
-0.00543467,0.194058,0.00328433,0.194162,256
-0.00586097,0.192935,0.00244367,0.19304,257
-0.00584039,0.191916,0.00249247,0.192021,258
-0.00588115,0.193955,0.00239471,0.194059,259
-0.00458541,0.0594385,0.00439278,0.0597768,260
-0.00415002,0.0618624,0.00480623,0.0621875,261
-0.0021398,0.0600363,0.00597861,0.0603712,262
-0.00156556,0.0624602,0.00615398,0.0627822,263
-0.00367753,0.0642863,0.00517671,0.0645992,264
0.000756662,0.0606341,0.00630476,0.0609656,265
-0.00633118,0.148492,0.000488581,0.148627,266
-0.00626953,0.150838,0.00100774,0.150971,267
-0.00549462,0.149127,0.00318303,0.149263,268
-0.00521415,0.151473,0.00362424,0.151606,269
-0.00616538,0.153184,0.00152006,0.153315,270
-0.00571014,0.012478,0.00277792,0.0140008,271
-0.00626479,0.0118153,0.0010368,0.0134136,272
-0.00600639,0.0108082,0.00206052,0.0125356,273
0.00511233,0.00690379,0.00376651,0.00938002,274
0.00512484,0.00843031,0.00374946,0.0105543,275
0.00448715,0.00775862,0.00449311,0.0100259,276
0.00525905,0.00117458,0.00355877,0.00645772,277
0.00509035,0.00197674,0.00379616,0.00665057,278
0.00567361,0.00120269,0.00285177,0.00646289,279
0.00553689,0.00200485,0.00310892,0.00665897,280
0.00491094,0.00277891,0.00402557,0.00693144,281
-0.00118487,0.00904338,-0.00623848,0.0110501,282
-0.00256409,0.00824375,-0.0058093,0.0104059,283
-0.00131722,0.00759292,-0.00621188,0.00989823,284
-0.002687,0.00679329,-0.00575348,0.00929899,285
-0.00381063,0.00744413,-0.00507953,0.00978456,286
-0.00496463,0.2,0.00395916,0.200101,287
-0.00449013,0.2,0.00449013,0.200101,288
-0.00463506,0.199221,0.00434036,0.199322,289
-0.00411995,0.199221,0.00483203,0.199322,290
-0.00395916,0.2,0.00496463,0.200101,291
0.000651282,0.0226903,-0.00631651,0.0235621,292
0.00102699,0.0206783,-0.0062664,0.0216314,293
0.0030022,0.0226326,-0.00559547,0.0235065,294
-0.00155695,0.00401249,-0.00615617,0.0075115,295
-0.00258399,0.00443055,-0.00580048,0.00774288,296
-0.00219079,0.00348073,-0.00596011,0.00724141,297
-0.0031751,0.00389879,-0.0054992,0.00745138,298
-0.00353532,0.0048486,-0.00527485,0.00798946,299
-0.00280071,0.00294897,-0.00569899,0.00700135,300
0.000379502,0.0527528,-0.00633865,0.0531336,301
0.00302577,0.0512321,-0.00558276,0.0516241,302
0.000796263,0.0499891,-0.00629988,0.0503908,303
0.00596951,0.00625,-0.00216506,0.00890983,304
0.00608907,0.00470647,-0.0018016,0.00790401,305
0.00510994,0.00595647,-0.00376975,0.00870644,306
0.00532771,0.00441295,-0.00345515,0.00773283,307
-0.00253313,0.00549553,-0.00582287,0.00839782,308
-0.00367427,0.00614637,-0.00517902,0.00883744,309
0.000952285,0.190836,-0.00627819,0.190942,310
3.91827e-05,0.189773,-0.00634988,0.18988,311
-0.00104925,0.191793,-0.00626271,0.191898,312
-0.000137364,0.192855,-0.00634851,0.19296,313
-0.0019393,0.19073,-0.00604662,0.190836,314
0.000800143,0.00169553,-0.00629939,0.00657247,315
0.00146173,0.00171471,-0.00617947,0.00657744,316
0.00147583,0.00239605,-0.00617612,0.00678701,317
0.00212059,0.00241523,-0.00598545,0.00679381,318
0.00210693,0.00173389,-0.00599027,0.00658247,319
0.00213424,0.00309657,-0.00598059,0.00706479,320
-0.00372482,0.00396937,-0.00514279,0.00748855,321
-0.003373,0.00301955,-0.00538009,0.00703137,322
-0.00390938,0.00309013,-0.00500392,0.00706197,323
-0.00576362,0.00686815,0.00266517,0.00935382,324
-0.00572541,0.00586833,0.00274631,0.00864638,325
0.00487362,0.1175,-0.00407066,0.117671,326
0.00491014,0.119906,-0.00402654,0.120074,327
0.00313894,0.11909,-0.00551992,0.119259,328
0.0031886,0.121496,-0.00549139,0.121662,329
0.00494626,0.122313,-0.00398208,0.122478,330
0.00100651,0.12068,-0.00626972,0.120847,331
-0.000489464,0.134,-0.00633111,0.13415,332
-0.00282009,0.135552,-0.00568943,0.135701,333
-0.00253606,0.132781,-0.00582159,0.132933,334
0.00434159,0.198879,0.00463391,0.19898,335
0.00489965,0.198401,0.0040393,0.198503,336
0.00417967,0.197907,0.00478046,0.198009,337
0.00500715,0.107158,-0.00390525,0.107346,338
0.00600491,0.108579,-0.00206484,0.108764,339
0.00505934,0.1097,-0.00383739,0.109884,340
0.0060322,0.111121,-0.00198369,0.111302,341
0.00635,0.11,3.88825e-19,0.110183,342
0.00511062,0.112242,-0.00376883,0.112422,343
-0.00525335,0.00247472,0.00356719,0.00681519,344
-0.0056665,0.00200647,0.00286589,0.00665946,345
-0.00564547,0.00282381,0.00290709,0.00694956,346
-0.00597096,0.00235556,0.00216104,0.00677283,347
-0.00598655,0.00153822,0.00211749,0.00653365,348
-0.00595506,0.0031729,0.00220448,0.00709858,349
-0.00108571,0.193988,0.0062565,0.194091,350
-0.00236211,0.193312,0.00589432,0.193416,351
-0.00216497,0.195059,0.00596954,0.195163,352
-0.00335818,0.194384,0.00538935,0.194488,353
-0.00353538,0.192637,0.00527481,0.192741,354
-0.00317726,0.196131,0.00549795,0.196234,355
0.00133253,0.181242,0.00620861,0.181353,356
0.00328204,0.181871,0.00543606,0.181982,357
0.00329233,0.179105,0.00542983,0.179217,358
0.00488132,0.179734,0.00406143,0.179846,359
0.004889,0.176968,0.00405218,0.177081,360
0.000530655,0.057975,-0.00632779,0.0583218,361
0.00317367,0.0593756,-0.00550003,0.0597141,362
0.00109594,0.0604335,-0.00625471,0.0607662,363
-0.00584309,0.173345,-0.00248612,0.173462,364
-0.00477851,0.174417,-0.0041819,0.174532,365
-0.0057025,0.175796,-0.00279355,0.17591,366
-0.00454919,0.176867,-0.00443028,0.176981,367
-0.00323884,0.175488,-0.00546191,0.175603,368
-0.00554576,0.178246,-0.00309307,0.178359,369
0.00596951,0.19375,-0.00216506,0.193854,370
0.00611941,0.195596,-0.00169566,0.195699,371
0.00487313,0.0825227,-0.00407125,0.0827667,372
0.00487338,0.0850114,-0.00407096,0.0852482,373
0.00294883,0.0842103,-0.00562378,0.0844493,374
0.00294917,0.0866989,-0.0056236,0.0869311,375
0.00487362,0.0875,-0.00407066,0.0877301,376
0.000577457,0.0858978,-0.00632369,0.0861322,377
0.000239942,0.00838462,-0.00634547,0.0105178,378
0.000637545,0.198409,-0.00631791,0.198511,379
0.000544712,0.197622,-0.00632659,0.197724,380
0.00134581,0.198352,-0.00620575,0.198454,381
0.00125455,0.197565,-0.00622484,0.197667,382
0.00045176,0.196835,-0.00633391,0.196937,383
0.00203691,0.198295,-0.00601444,0.198396,384
0.0014808,0.197659,0.00617493,0.197761,385
0.0017619,0.196741,0.00610067,0.196843,386
0.000126122,0.00294691,-0.00634875,0.00700048,387
0.00046379,0.00232122,-0.00633304,0.00676096,388
0.00114508,0.00302174,-0.0062459,0.00703231,389
0.00598879,0.123656,-0.00211113,0.123819,390
0.00481123,0.125133,-0.00414422,0.125294,391
0.00591535,0.126476,-0.00230894,0.126635,392
0.00635,0.125,3.88825e-19,0.125161,393
0.00467089,0.127952,-0.00430178,0.12811,394
0.00345741,0.00268351,0.00532624,0.00689374,395
0.00507484,0.0219906,0.00381687,0.022889,396
0.00602278,0.0209953,0.00201212,0.0219346,397
0.00506227,0.0204128,0.00383353,0.0213776,398
0.00601613,0.0194175,0.0020319,0.0204294,399
0.00635,0.02,3.88825e-19,0.0209839,400
0.00504964,0.018835,0.00385014,0.0198766,401
-0.00324399,0.0244448,-0.00545885,0.0252561,402
-0.00490817,0.0252725,-0.00402894,0.0260581,403
-0.00444415,0.0230823,-0.00453564,0.0239398,404
-0.00572248,0.02391,-0.0027524,0.0247389,405
-0.00598636,0.0261003,-0.00211803,0.0268616,406
-0.00539161,0.0217198,-0.00335455,0.022629,407
0.000589606,0.177038,0.00632257,0.177152,408
0.000962756,0.17914,0.00627659,0.179252,409
0.00296521,0.177003,0.00561516,0.177116,410
-0.00597693,0.194226,-0.00214447,0.19433,411
-0.00585683,0.195405,-0.00245359,0.195508,412
-0.00565426,0.194099,-0.00288996,0.194203,413
-0.00579742,0.19292,-0.00259082,0.193025,414
-0.00549567,0.195278,-0.00318121,0.195381,415
-0.00536106,0.198465,-0.00340317,0.198567,416
-0.00506603,0.197629,-0.00382856,0.197731,417
-0.00495641,0.198616,-0.00396944,0.198718,418
-0.0046166,0.19778,-0.00435999,0.197882,419
-0.00473733,0.196792,-0.0042285,0.196894,420
-0.00449222,0.198768,-0.00448803,0.198869,421
-0.00107473,0.194926,0.00625839,0.195029,422
-0.00215449,0.195998,0.00597333,0.196101,423
0.0038382,0.0210119,0.00505873,0.0219505,424
0.00382155,0.0194341,0.00507132,0.0204452,425
0.00230918,0.0200333,0.00591525,0.0210156,426
-0.00633916,0.193628,0.000370964,0.193732,427
-0.00624637,0.193274,-0.0011425,0.193379,428
-0.00631494,0.19458,-0.000666321,0.194684,429
-0.00514085,0.199295,0.00372749,0.199396,430
0.00178172,0.0984087,-0.00609491,0.0986134,431
0.00351517,0.100454,-0.00528829,0.100655,432
0.00118512,0.100664,-0.00623843,0.100864,433
0.00298833,0.10271,-0.00560289,0.102906,434
0.00492995,0.1025,-0.00400226,0.102697,435
0.000577447,0.10292,-0.00632369,0.103115,436
0.00626787,0.196642,0.00101802,0.196744,437
0.0059879,0.191028,0.00211366,0.191134,438
0.00501947,0.190071,0.00388939,0.190177,439
0.00602787,0.189043,0.00199682,0.189149,440
0.00635,0.19,3.88825e-19,0.190106,441
0.00138441,0.181214,-0.00619725,0.181325,442
0.00104309,0.179304,-0.00626374,0.179416,443
0.00335899,0.179461,-0.00538885,0.179574,444
0.00305896,0.177551,-0.00556465,0.177665,445
0.000698637,0.177394,-0.00631145,0.177507,446
-0.00613298,0.195947,0.0016459,0.19605,447
-0.00617717,0.194944,0.0014714,0.195047,448
-0.0058109,0.194958,0.00256045,0.195061,449
-0.00573599,0.195961,0.00272413,0.196064,450
0.00635,0.1925,3.88825e-19,0.192605,451
0.00257242,0.110064,-0.00580561,0.110247,452
0.00390708,0.108611,-0.00500572,0.108797,453
0.00397422,0.111153,-0.00495259,0.111335,454
-0.00554542,0.00789414,-0.00309368,0.0101311,455
-0.00553464,0.00675216,-0.00311291,0.00926899,456
-0.00506835,0.00695059,-0.00382548,0.00941452,457
-0.00505504,0.00580861,-0.00384305,0.00860595,458
-0.0055238,0.00561018,-0.00313211,0.00847329,459
